,all_data_acc_mean,all_data_acc_var,view_1_acc_mean,view_2_acc_mean,view_3_acc_mean,fusion_acc_mean,fusion_acc_var
K_means_cluster,0.932,1.5999999999999854e-05,0.8945000000000001,0.9269999999999999,0.8634999999999999,0.9535,9.524999999999977e-05
GMM_cluster,0.9380000000000001,2.0999999999999596e-05,0.9235000000000001,0.8680000000000001,0.8899999999999999,0.953,7.599999999999961e-05
DVC,0.931,1.9000000000000035e-05,0.8659999999999999,0.9324999999999999,0.8545,0.9465,6.024999999999974e-05
Random_subspace,0.9324999999999999,8.624999999999944e-05,0.9275,0.9105000000000001,0.9000000000000001,0.9460000000000001,9.39999999999997e-05
feature_divide,0.9360000000000002,7.899999999999935e-05,0.906,0.9205,0.8809999999999999,0.9474999999999998,0.00013624999999999946
GR_rank,0.9365,6.024999999999945e-05,0.933,0.9475,0.9005000000000001,0.9625,5.625000000000011e-05
OFSP_KNN,0.9340000000000002,1.8999999999999764e-05,0.9170000000000001,0.8554999999999999,0.8985,0.9385,7.024999999999938e-05
OFSP_SVM,0.931,3.899999999999956e-05,0.9269999999999999,0.857,0.9055000000000002,0.959,8.900000000000014e-05
